# block  time  nWalkers weight PseudoEloc LogOvlp EnergyEstim__nume_real  EnergyEstim__nume_imag EnergyEstim__deno_real  EnergyEstim__deno_imag EnergyEstim__timer EnergyEstim__nume_real  EnergyEstim__nume_imag EnergyEstim__deno_real  EnergyEstim__deno_imag EnergyEstim__timer OneBodyEnergyEstim__nume_real EXXEnergyEstim__nume_real ECoulEnergyEstim__nume_real Eshift freeMemory 
1 2 3200 3256.28 -90.43740625928538 562.2111050182142 -220.5069008720994 0 1 0 1.443200618 -220.5069008720994 0 1 0 1.445944594 -247.3977927591544 0 26.89089188705502 -148.862438575  973354 
2 2 3200 3256.67 -90.52608753721212 564.126122927556 -220.586597608889 0 0.9999999999999999 0 1.501683809 -220.586597608889 0 0.9999999999999999 0 1.448046497 -248.0124472931289 0 27.42584968423989 -149.33561535  973369 
3 2 3200 3255.79 -90.38462999697221 562.5412133813348 -220.5382629598312 0 1 0 1.446653296 -220.5382629598312 0 1 0 1.446851269 -248.2051456803757 0 27.66688272054446 -147.828027203  973238 
4 2 3200 3255.56 -90.31244175180403 561.7364923482561 -220.9367737435932 0 1 0 1.445695792 -220.9367737435932 0 1 0 1.444363956 -248.2803463014604 0 27.34357255786719 -146.968789535  973345 
5 2 3200 3254.48 -90.38626199598676 562.2995362672942 -219.5289959442255 0 0.9999999999999999 0 1.443198078 -219.5289959442255 0 0.9999999999999999 0 1.480036087 -246.3273431921251 0 26.79834724789958 -147.883300049  973357 
6 2 3200 3257.82 -90.74892611748209 567.3358155372019 -220.7714704334776 0 1 0 1.448257983 -220.7714704334776 0 1 0 1.443879479 -248.2949457175012 0 27.52347528402366 -149.315375439  973245 
7 2 3200 3257.18 -90.61294408371307 564.6533159659127 -220.9938094814958 0 0.9999999999999999 0 1.539558967 -220.9938094814958 0 0.9999999999999999 0 1.446447864 -248.0833325348603 0 27.08952305336448 -148.600307415  973213 
8 2 3200 3256.02 -90.67350362336323 565.1520564200167 -221.0345732484611 0 1 0 1.444697354 -221.0345732484611 0 1 0 1.452878413 -247.9695455358109 0 26.93497228734984 -150.809877257  973208 
9 2 3200 3254.01 -90.56744877177512 564.9181134486651 -221.1005047670623 0 1 0 1.443776123 -221.1005047670623 0 1 0 1.444511478 -248.6388927617293 0 27.53838799466703 -148.164270224  973126 
10 2 3200 3254.74 -90.49123338019118 563.9388659406465 -221.3725036470857 0 1 0 1.447440104 -221.3725036470857 0 1 0 1.446160183 -249.7138896430513 0 28.34138599596558 -146.593951565  973040 
11 2 3200 3255.11 -90.62139422402879 565.6167204488377 -221.2006510056586 0 1 0 1.445367135 -221.2006510056586 0 1 0 1.444413007 -249.3883394694022 0 28.18768846374359 -148.96605971  973024 
12 2 3200 3259.82 -90.64585481402227 565.2402895648748 -220.0435981420425 0 1 0 1.460384943 -220.0435981420425 0 1 0 1.505796312 -248.079900510784 0 28.03630236874153 -149.189902557  971373 
13 2 3200 3253.04 -90.38066715201002 561.9381307610739 -221.5036368754423 0 1 0 1.446507094 -221.5036368754423 0 1 0 1.446212767 -248.6341286720643 0 27.13049179662202 -147.529504126  972879 
14 2 3200 3256.4 -90.34792171849911 561.3450291704203 -220.7387175952021 0 1 0 1.443577868 -220.7387175952021 0 1 0 1.445220831 -247.7513548382388 0 27.01263724303673 -148.851016335  972830 
15 2 3200 3256.11 -90.7257274550562 566.5904941134737 -219.9817028455813 0 1 0 1.484222227 -219.9817028455813 0 1 0 1.708667698 -247.2893953370464 0 27.30769249146509 -149.908660857  972781 
16 2 3200 3252.53 -90.20964407391807 562.0942383722679 -221.2215815204784 0 1 0 1.446622705 -221.2215815204784 0 1 0 1.447254531 -249.9302399703735 0 28.70865844989516 -146.433607412  972835 
17 2 3200 3255.11 -90.95802489187942 567.1604532380103 -219.3487363599744 0 1 0 1.442450516 -219.3487363599744 0 1 0 1.447124887 -245.4390370877664 0 26.09030072779203 -151.449042578  972736 
18 2 3200 3254.58 -90.68535550561413 565.4995525888183 -220.3308814758159 0 0.9999999999999999 0 1.447647462 -220.3308814758159 0 0.9999999999999999 0 1.509638944 -247.9353773211937 0 27.60449584537779 -148.844796459  972739 
19 2 3200 3252.98 -90.47904298417687 563.1115215525166 -220.6583019403465 0 0.9999999999999999 0 1.536754209 -220.6583019403465 0 0.9999999999999999 0 1.519383564 -247.2820067558928 0 26.62370481554631 -146.845081187  972745 
20 2 3200 3257.56 -90.54402034554151 564.9069079298762 -220.1580927589931 0 1 0 1.444236505 -220.1580927589931 0 1 0 1.448002205 -247.9057836804186 0 27.74769092142544 -148.466466747  972836 
21 2 3200 3255.82 -90.64002748279185 563.0648104539291 -219.318686952902 0 1 0 1.44214162 -219.318686952902 0 1 0 1.443353839 -245.2352493603356 0 25.91656240743355 -149.8676155  972758 
22 2 3200 3255.06 -90.39330999080624 562.8466435477682 -219.8293397437133 0 1 0 1.442324903 -219.8293397437133 0 1 0 1.446394387 -247.1982296648931 0 27.36888992117986 -148.335110781  972783 
23 2 3200 3256.97 -90.3385462741611 562.8531157172021 -220.5696952991406 0 1 0 1.441858209 -220.5696952991406 0 1 0 1.444306756 -248.9559664279855 0 28.38627112884498 -147.7944897  971097 
24 2 3200 3254.72 -90.4888725682729 563.4240979158938 -220.9991313563471 0 1 0 1.448278681 -220.9991313563471 0 1 0 1.445236737 -247.6560274189137 0 26.65689606256652 -148.361830287  972686 
25 2 3200 3253.69 -90.41298148069585 563.7063402815028 -221.6616664681659 0 1 0 1.444160883 -221.6616664681659 0 1 0 1.446284235 -248.9950100434833 0 27.33334357531734 -147.422664735  972714 
26 2 3200 3256.25 -90.43241681380067 562.5880107473515 -220.9049969881694 0 1 0 1.444276342 -220.9049969881694 0 1 0 1.477786264 -247.0888873292973 0 26.18389034112784 -148.751836447  972701 
27 2 3200 3253.31 -90.54968084905109 564.535539296628 -219.6580673675237 0 1 0 1.44587888 -219.6580673675237 0 1 0 1.501935946 -247.5329986669846 0 27.87493129946093 -147.689173504  972683 
28 2 3200 3257.48 -90.27485812565322 561.8019651653178 -221.4045544740897 0 1 0 1.510443251 -221.4045544740897 0 1 0 1.463934466 -249.4464645763648 0 28.04191010227504 -146.838782591  972692 
29 2 3200 3253.29 -90.35997561928319 561.9666319505576 -221.0311531570595 0 1 0 1.446454375 -221.0311531570595 0 1 0 1.443699422 -248.6735364245977 0 27.64238326753814 -146.896407181  972757 
30 2 3200 3255.91 -90.37730233800612 562.928541827242 -221.1257542673009 0 1 0 1.445743404 -221.1257542673009 0 1 0 1.44429283 -248.7851278866999 0 27.65937361939894 -147.286995576  972800 
